"","P","Y","A","G"
"991",3,1,2,-2
"992",4,5,2,1
"993",4,4,2,0
"994",2,3,2,1
"995",5,5,1,0
"996",3,4,1,1
"997",4,5,1,1
"998",5,5,1,0
"999",4,5,1,1
"1000",2,3,1,1
"1001",2,3,1,1
"1002",4,4,2,0
"1003",5,5,2,0
"1004",2,3,2,1
"1005",5,5,2,0
"1006",4,5,2,1
"1007",4,5,2,1
"1008",4,5,2,1
"1009",4,5,2,1
"1010",2,4,2,2
"1011",4,5,2,1
"1012",4,3,2,-1
"1013",5,5,1,0
"1014",2,2,1,0
"1015",3,4,1,1
"1016",5,5,1,0
"1017",3,5,1,2
"1018",2,3,1,1
"1019",5,5,1,0
"1020",4,5,2,1
"1021",4,5,2,1
"1022",3,3,2,0
"1023",4,4,2,0
"1024",5,5,2,0
"1025",2,5,2,3
"1026",2,3,1,1
"1027",5,5,1,0
"1028",3,4,1,1
"1029",3,4,1,1
"1030",5,5,1,0
"1031",5,5,1,0
"1032",2,3,1,1
"1033",2,4,2,2
"1034",3,1,2,-2
"1035",1,2,2,1
"1036",5,5,2,0
"1037",2,1,2,-1
"1038",3,2,1,-1
"1039",4,5,1,1
"1040",2,5,1,3
"1041",5,5,1,0
"1042",5,4,1,-1
"1043",4,5,1,1
"1044",3,5,1,2
"1045",3,5,1,2
"1046",3,5,1,2
"1047",5,5,1,0
"1048",3,5,2,2
"1049",5,5,2,0
"1050",4,2,2,-2
"1051",5,5,2,0
"1052",3,5,1,2
"1053",1,3,1,2
"1054",5,5,1,0
"1055",3,5,1,2
"1056",4,5,1,1
"1057",2,3,1,1
"1058",4,5,2,1
"1059",3,3,2,0
"1060",5,5,2,0
"1061",4,5,2,1
"1062",5,5,2,0
"1063",4,5,2,1
"1064",2,2,2,0
"1065",5,5,2,0
"1066",4,5,1,1
"1067",2,3,1,1
"1068",5,5,1,0
"1069",2,4,1,2
"1070",3,2,1,-1
"1071",2,3,1,1
"1072",2,3,1,1
"1073",2,5,1,3
"1074",2,2,1,0
"1075",3,5,1,2
"1076",5,5,2,0
"1077",2,3,2,1
"1078",4,5,2,1
"1079",5,4,2,-1
"1080",2,2,2,0
"1081",3,4,2,1
"1082",3,4,2,1
